,,,,,Ingredient Preferences,,,,Allergens,,,,,,,,Skin type,,,,Suitable for sensitive skin,,,,,,Suitable (for acne-prone),,,,,,,Skin concern,,,,,,,,,,,,,,,,,,,,,,,,,,,Benefit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Age range,,,,,
Rosmarinus Officinalis (Rosemary) Leaf Oil,10657,Rosmarinus Officinalis (Rosemary) Leaf Oil,8000-2,8000-25-7,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,1,-3,3,3,3,3,2,1,0,0,3,3,3,2,1,1,Yes,1,,,,,,,1,,,,,,,,,,,1,,,,,,,,,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,Yes,Yes,Yes,Yes,Yes,Yes
Cellulose Gum,6852218,Cellulose Gum,9004-32-4,9004-32-4,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,3,3,3,3,5,5,5,5,5,5,5,5,5,5,5,5,Yes,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Yes,Yes,Yes,Yes,Yes,Yes
Disodium EDTA,6049,Disodium EDTA,6381-92-6,139-33-3,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,3,3,3,3,4,4,4,4,3,3,4,4,4,4,3,3,Yes,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Yes,Yes,Yes,Yes,Yes,Yes
Daucus Carota Sativa (Carrot) Root Extract,61811,Daucus Carota Sativa Root Extract,84929-61-3,84929-61-3,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,3,3,-3,1,4,4,4,4,3,3,4,4,4,4,3,3,Yes,,,,,,,,,,1,1,,1,1,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,1,0,No,No,Yes,Yes,Yes,Yes
Tropolone,10230,Tropolone,533-75-5,533-75-5,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,3,3,3,3,4,4,4,4,3,3,4,4,4,4,3,3,Yes,1,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,No,Yes,Yes,Yes,Yes,Yes
Beta-Carotene,5280489,Beta-Carotene,7235-40-7,7235-40-7,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,3,3,-3,1,4,4,4,4,3,3,4,4,4,4,3,3,Yes,,,,,,,,,,1,1,,1,1,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,1,0,No,No,Yes,Yes,Yes,Yes
Limonene,440917,Limonene,138-86-3,5989-27-5,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,No,1,-3,3,3,2,2,2,1,0,0,2,2,2,1,0,0,Yes,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,No,No,No,No,No,No
Farnesol,8207,Farnesol,4602-84-0,4602-84-0,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,1,-3,3,3,2,2,2,1,0,0,2,2,2,1,0,0,Yes,1,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,No,Yes,Yes,Yes,Yes,Yes
Linalool 100% Natural Fragrance - Parfum 100% Naturel,6549,Linalool,78-70-6,78-70-6,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,1,-3,3,3,2,2,2,1,0,0,2,2,2,1,0,0,Yes,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,No,Yes,Yes,Yes,Yes,Yes
Algae Extract,0,Algae Extract,92128-82-0,None,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,3,3,3,3,5,5,5,5,5,5,5,5,5,5,5,5,Yes,,,,,,,1,,,1,,,,,,,,,,,,,,,,,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,No,No,Yes,Yes,Yes,Yes
Apricot Oil,176871,Prunus Armeniaca (Apricot) Kernel Oil,72869-69-3,72869-69-3,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,3,3,-3,1,4,4,4,4,3,3,4,4,4,4,3,3,Yes,,,,,,,1,,,1,,,,,,,1,,,,,,,,,,,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,No,Yes,Yes,Yes,Yes,Yes
Avocado Butter,5280484,Persea Gratissima (Avocado) Butter,915831-44-4,None,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,1,3,-3,1,4,4,4,4,3,3,4,4,4,4,3,3,Yes,,,,,,,1,,,,,,,,,,1,1,,,,,,,,,,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,No,Yes,Yes,Yes,Yes,Yes
Bentonite,5350520,Bentonite,1302-78-9,1302-78-9,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,1,-3,3,3,3,3,3,2,1,1,3,3,3,2,1,1,Yes,1,,,,,,,,1,,,,,,,,,,,1,,,,,,,,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,Yes,Yes,Yes,Yes,Yes,Yes
Butyrospermum Parkii (Shea) Butter,5357148,Butyrospermum Parkii (Shea) Butter,91080-23-8,91080-23-8,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,1,3,-3,1,4,4,4,4,3,3,4,4,4,4,3,3,Yes,,,,,,,1,,,,,1,,,1,1,,,,,,1,,,,,,1,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,No,Yes,Yes,Yes,Yes,Yes
Caprylic/Capric Triglyceride,5462308,Caprylic/Capric Triglyceride,73398-61-5,73398-61-5,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,1,3,-3,1,4,4,4,4,3,3,4,4,4,4,3,3,Yes,,,,,,,1,,,,,,,,,1,1,,,,,,,,,,,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Yes,Yes,Yes,Yes,Yes,Yes
Cetearyl Alcohol,8221,Cetearyl Alcohol,8005-44-5,67762-27-0,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,3,3,-3,1,4,4,4,4,3,3,4,4,4,4,3,3,Yes,,,,,,,1,,,,,,,,,,,,,,1,,,,,,,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Yes,Yes,Yes,Yes,Yes,Yes
Cetearyl Wheat Straw Glycosides,0,Cetearyl Wheat Straw Glycosides,84861-93-8,None,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,3,3,-3,1,4,4,4,4,3,3,4,4,4,4,3,3,Yes,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Yes,Yes,Yes,No,No,No
Ethylhexylglycerin,9859093,Ethylhexylglycerin,70445-33-9,70445-33-9,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,1,-3,3,3,3,3,3,2,1,1,3,3,3,2,1,1,Yes,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Yes,Yes,Yes,Yes,Yes,Yes
Frankincese Essential Oil,0,Boswellia Carterii Oil,8016-36-2,None,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,3,3,3,3,3,3,2,1,0,0,3,3,2,1,0,0,Yes,1,,,,,,,1,,1,,,,,1,,,,,,,,,,,,,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,No,Yes,Yes,Yes,Yes,Yes
Glycerin,753,Glycerin,56-81-5,56-81-5,Yes/No,Yes/No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,3,3,-3,1,5,5,5,5,5,5,5,5,5,5,5,5,Yes,,,,,,,1,,,,,,1,,,,,1,,,,,,,,,,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Yes,Yes,Yes,Yes,Yes,Yes
Glyceryl Stearate,9204,Glyceryl Stearate,31566-31-1,11099-07-03,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,1,3,-3,1,4,4,4,4,4,4,4,4,4,4,4,4,Yes,,,,,,,1,,,,,,,,,,1,,,,,,,,,,,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,No,Yes,Yes,Yes,Yes,Yes
Jojoba Oil,,Simmondsia Chinensis (Jojoba) Seed Oil,90045-98-0,61789-91-1,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,1,0,3,3,5,5,5,5,5,5,5,5,5,5,5,5,Yes,1,,,,,,1,,1,,,1,,,,,,,,,,,,,1,,,1,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,Yes,Yes,Yes,Yes,Yes,Yes
Kokum Butter,0,Garcinia Indica Seed Butter,90063-08-08,999999-99-4,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,1,3,-3,1,4,4,4,4,3,3,4,4,4,4,3,3,Yes,,,,,,,1,,,,,,,,,,1,1,,,,,,,,,,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,No,Yes,Yes,Yes,Yes,Yes
Lavender Essential Oil,11119,Lavandula Angustifolia (Lavender) Oil,8000-28-0,8000-28-0,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,1,-3,3,3,3,3,2,1,0,0,3,3,2,1,0,0,Yes,1,,,,,,,1,,,,1,,,,,,,,,,,,,,,,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,No,Yes,Yes,Yes,Yes,Yes
Phenoxyethanol,31226,Phenoxyethanol,122-99-6,122-99-6,Yes,No,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,3,3,3,3,3,3,3,2,1,1,3,3,3,2,1,1,Yes,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,No,No,No,No,No,No
Shea Butter,5357148,Butyrospermum Parkii (Shea) Butter,91080-23-8,91080-23-8,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,1,3,-3,1,4,4,4,4,3,3,4,4,4,4,3,3,Yes,,,,,,,1,,,,,1,,,1,1,,,,,,1,,,,,,1,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,No,Yes,Yes,Yes,Yes,Yes
Sodium Hyaluronate,6322,Sodium Hyaluronate,9067-32-7,9067-32-7,Yes,Yes/No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,3,3,1,1,5,5,5,5,5,5,5,5,5,5,5,5,Yes,,,,,,,1,,,1,,,,,,1,,,,,,,,,,,,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,No,Yes,Yes,Yes,Yes,Yes
Tocopheryl Acetate,86472,Tocopheryl Acetate,58-95-7,58-95-7,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,3,3,-3,1,4,4,4,4,3,3,4,4,4,4,3,3,Yes,,,,,,,1,,,1,,,,,1,1,,,,,,,,,,,,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,No,Yes,Yes,Yes,Yes,Yes
Vetiver Essential Oil,108007,Vetiveria Zizanoides Root Oil,8016-96-4,8016-96-4,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,1,-3,3,3,3,3,2,1,0,0,3,3,2,1,0,0,Yes,,,,,,,,1,,1,,,,,1,,,,,,,,,,,,,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,No,Yes,Yes,Yes,Yes,Yes
Water,962,Aqua (Water),7732-18-5,7732-18-5,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,3,3,3,3,5,5,5,5,5,5,5,5,5,5,5,5,Yes,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Yes,Yes,Yes,Yes,Yes,Yes
Xanthan Gum,11953916,Xanthan Gum,11138-66-2,11138-66-2,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,3,3,3,3,5,5,5,5,5,5,5,5,5,5,5,5,Yes,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Yes,Yes,Yes,Yes,Yes,Yes
Aloe Barbadensis (Aloe Vera) Leaf Juice*,23343930,Aloe Barbadensis Leaf Juice,85507-69-3,85507-69-3,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,3,3,3,3,5,5,5,5,5,5,5,5,5,5,5,5,Yes,1,,,,,,1,1,,,,1,,,,,,1,,,,,,,1,,,1,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,Yes,Yes,Yes,Yes,Yes,Yes
