1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101
Adenosine,"Adenin riboside, Adenyl riboside, Adenosine monohydrate, Riboside, Adenosine Trihydrate",Adenosine,Active,Low Risk,Single,0,Low Risk,Active,"Reduces inflammation, anti-aging, reduces wrinkles",0,0.2,0.2,0,0.2,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,0.2,,0,,0.2,,0.2,,0,,1,"Adenosine is a natural compound that helps to energize the skin and improve the appearance of fine lines and wrinkles. It promotes smoother, more youthful-looking skin by stimulating collagen production and enhancing skin elasticity. Adenosine also aids in skin repair, making it a powerful anti-aging ingredient.",0.2,,0.2,,0.2,,0.2,,0.2,,0.2,,0,0,0,0,0,0,0,0,0.2,0.2,0.2,1,0,0,0,0.2,0,0,0.2,0,0.2,0,0,0,0,0,0,1,0,0,0.1 - 0.4%,Yes
Algae Extract,"Seaweed Extract, Marine Algae Extract, Sea Algae Extract, Algae Powder, Seaweed Powder, Seaweed Extract Gel",Algae Extract,Active,Low Risk,Compound,"Polysaccharides, Vitamins, Minerals",Low Risk,"Active, Humectant","Moisturizing, soothing, healing",2,0.2,0.2,1,0.2,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,0.2,,0.2,,-0.2,,0.2,,0.2,"Algae extract is rich in minerals and vitamins that help regulate sebum production. It provides lightweight hydration without adding excess oil, making it ideal for oily skin.",0.2,,0.2,,1,"Algae extract is rich in minerals and antioxidants that help detoxify the skin and tighten pores. It improves skin texture by promoting cell turnover and providing lightweight hydration, making the skin appear smoother and more refined.",0.2,"Algae extract detoxifies the skin and regulates sebum production, helping to prevent clogged pores. It also soothes inflammation, which can lead to blackheads.",0.2,,0.2,,-0.2,,0.2,0,0,0,0,0,0,0,0,-0.2,-0.2,0.2,0,0,0,0.2,0.2,1,1,1,0.2,0,0,0,0,0,0,0.2,0,1,0.5% - 2%,Yes
Allantoin,"Glyoxyldiureide, 0.5-Ureidohydantoin, Alcloxa, Urea Hydantoin, Allantoin Glyoxyldiureide",Allantoin,Active,Low Risk,Single,0,Low Risk,Active,"Moisturizing, soothing, reduces inflammation",0,0.2,1,0,0.2,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,1,"Allantoin is known for its soothing and anti-irritating properties. It helps calm inflamed skin, making it beneficial for managing the redness and irritation associated with rosacea. It is gentle and helps support the skin’s natural healing processes.",0.2,,0.2,,1,"Allantoin is known for its soothing and moisturizing properties. It helps soften and protect the skin, making it effective in relieving dryness and promoting hydration. Allantoin also aids in skin repair, which is beneficial for dry, flaky skin.",0,,0.2,,0.2,,0.2,,0.2,,0.2,,0.2,,0.2,,0,0,0,0,1,1,0,1,0,0.2,0.2,0.2,0,0,0,0.2,0.2,0,0.2,0,0.2,0,0,0,0,0,0,0.2,0,0,0.1 - 2%,Yes
Aloe,"Aloe Vera Gel, Aloe Leaf Juice, Aloe Extract, Aloe Barbadensis Leaf Juice, Aloe Vera, Aloe Vera Gel, Aloe Juice, Aloe Vera Juice, Aloe Barbadensis Flower Extract, Aloe Barbadensis (Aloe Vera) Leaf Juice",Aloe Barbadensis (Aloe Vera) Leaf Juice,Active,Low Risk,Single,0,Low Risk,"Humectant, Active","Moisturizing, hydrating, soothing, anti-inflammatory",0,1,0.2,1,1,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,0.2,,1,"Aloe vera inhibits melanin production by blocking the enzyme tyrosinase, which is crucial for melanin synthesis. This action helps to lighten dark spots and even out skin tone by reducing excess pigmentation.",0.2,,0.2,,0.2,"Aloe is soothing and hydrating without being greasy, making it perfect for balancing oily skin. It helps calm inflammation and reduces the appearance of pores, effectively controlling oiliness.",0.2,,0.2,,0.2,"Aloe is known for its soothing and hydrating properties. It helps calm irritated skin, minimize pores, and improve overall skin texture. Aloe also promotes healing, which can reduce the appearance of uneven texture caused by acne or other skin issues.",0.2,,0.2,,0.2,,0.2,"Aloe is known for its soothing and anti-inflammatory properties. It helps calm irritated skin and reduce redness associated with blemishes. Aloe also promotes healing, minimizing the appearance of scars from past blemishes.",0.2,0,0,0,0,1,0,1,0,0.2,0.2,0.2,1,0,0,0.2,1,1,0.2,0,0.2,0,0,0,0,0,0,0.2,0,0,1 - 10%,Yes
Aloe Barbadensis (Aloe Vera) Leaf Juice*,"Aloe Vera Gel, Aloe Leaf Juice, Aloe Extract, Aloe Barbadensis Leaf Juice, Aloe Vera, Aloe Vera Gel, Aloe Juice, Aloe Vera Juice, Aloe Barbadensis Leaf Juice ",Aloe Barbadensis Leaf Juice,Active,Low Risk,Single,0,Low Risk,"Humectant, Active","Moisturizing, hydrating, soothing, anti-inflammatory",0,1,0.2,1,1,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,0.2,,1,"Aloe vera inhibits melanin production by blocking the enzyme tyrosinase, which is crucial for melanin synthesis. This action helps to lighten dark spots and even out skin tone by reducing excess pigmentation.",0.2,,0.2,,0.2,Aloe Vera Leaf Juice provides light hydration and helps calm and balance oily skin. It also has astringent properties that help reduce excess oil and minimize pores.,0.2,,0.2,,0.2,"Aloe Vera Leaf Juice provides intense hydration while calming the skin. It helps smooth uneven texture and reduce the appearance of enlarged pores, leaving the skin feeling soft and refined.",0.2,,0.2,,0.2,,0.2,"Aloe Vera Leaf Juice soothes and hydrates the skin, helping reduce inflammation and redness caused by blemishes. It promotes healing and can help fade blemish scars over time.",0.2,0,0,0,0,1,0,1,0,0.2,0.2,0.2,1,0,0,0.2,1,1,0.2,0,0.2,0,0,0,0,0,0,0.2,0,0,1 - 10%,Yes
Organic Aloe,"Organic Aloe Barbadensis Leaf Juice, Organic Aloe Vera Juice, Organic Aloe Leaf Juice, Organic Aloe Vera Juice",Aloe Barbadensis Leaf Juice,Active,Low Risk,Single,0,Low Risk,"Humectant, Active","Moisturizing, hydrating, soothing, anti-inflammatory",0,1,0.2,1,1,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,0.2,,1,"Aloe vera inhibits melanin production by blocking the enzyme tyrosinase, which is crucial for melanin synthesis. This action helps to lighten dark spots and even out skin tone by reducing excess pigmentation.",0.2,,0.2,,0.2,"Organic Aloe offers the same benefits as regular aloe, with added purity. It helps control oil production while keeping the skin hydrated and balanced.",0.2,,0.2,,0.2,"Organic Aloe offers the same benefits as regular aloe, with added purity. It soothes and hydrates the skin, helping to minimize pores and improve skin texture for a smoother, more even complexion.",0.2,,0.2,,0.2,,0.2,"Organic Aloe offers the same benefits as regular aloe, with added purity. It soothes irritated skin, reduces inflammation, and promotes healing, making it effective in treating and preventing blemishes.",0.2,0,0,0,0,1,0,1,0,0.2,0.2,0.2,1,0,0,0.2,1,1,0.2,0,0.2,0,0,0,0,0,0,0.2,0,0,1 - 10%,Yes
Aloe Barbadensis Leaf Juice Powder,"Aloe Vera Powder, Aloe Extract Powder, Aloe Juice Powder, Aloe Barbadensis Powder, Aloe Vera Leaf Juice Powder, Aloebarbadensis Leaf Juice Powder",Aloe Barbadensis Leaf Juice Powder,Active,Low Risk,Single,0,Low Risk,"Humectant, Active","Moisturizing, hydrating, soothing, anti-inflammatory",0,1,0.2,1,1,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,0.2,,0.2,,0.2,,0.2,,0.2,This concentrated form of aloe helps soothe and hydrate the skin without adding excess oil. It’s effective in balancing oily skin and reducing shine.,0.2,,0.2,,0.2,"This concentrated form of aloe helps to calm and hydrate the skin, improving skin texture and reducing the appearance of pores. It’s especially effective for soothing irritated skin.",0.2,,0.2,,0.2,,0.2,This concentrated form of aloe helps calm and heal blemished skin by reducing redness and irritation. It’s particularly effective in soothing and repairing damaged skin.,0.2,0,0,0,0,1,0,1,0,0.2,0.2,0.2,1,0,0,0.2,0.2,1,0.2,0,0.2,0,0,0,0,0,0,0.2,0,0,0.5 - 2%,
Alpha-Isomethyl Ionone,"3-Methyl-4-(2,6,6-trimethyl-2-cyclohexen-1-yl)-3-buten-2-one, α-Methylionone, Iso E Super, Methylionone, Cyclohexenyl Butenone",Alpha-Isomethyl Ionone,Inactive,High Risk,Single,0,High Risk,Fragrance,Can cause allergic reactions or skin irritation in some individuals.,2,0,-1,-1,-0.2,Yes,Yes,No,No,No,No,Yes,Yes,No,No,No,No,No,No,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,-6,,-1,,-1,,-6,,-1,,-1,,-1,,-1,,-1,,-1,,-6,,-1,,0,0,0,0,0,0,0,0,0,-1,-1,-1,0,0,0,-1,-1,0,-1,0,-1,0,0,0,0,0,0,-1,0,0,0.01 - 0.1%,
Marshmallow Root (Althaea officinalis),"Althaea Root Extract, Marshmallow Extract, Marshmallow Root Extract, Althaea Officinalis Extract",Althaea Officinalis Root Extract,Active,Low Risk,Compound,"Mucilage, Flavonoids",Low Risk,"Active, Humectant","Reduces inflammation, moisturizing, soothing",1,0.2,0.2,0.2,0.2,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,0.2,,0.2,,0,,0.2,,0.2,,0.2,,0.2,,0.2,,0.2,,0.2,,0.2,,0.2,,0.2,0,0,0,0,1,0,0,0,0,0.2,0.2,0,0,0,0.2,0.2,1,0.2,0,0.2,0,0,0,0,0,0,0.2,0,0,0.5 - 2%,
Ammonium Bicarbonate,"Ammonium hydrogen carbonate, Hartshorn, Ammonium acid carbonate, Bicarbonate of Ammonia, Baking Ammonia",Ammonium Bicarbonate,Inactive,Low Risk,Single,0,High Risk,pH Adjuster,"In higher concentrations, it can be irritating to the skin, especially sensitive or damaged skin.",0,0,-0.2,-1,0,Yes,Yes,No,No,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,0,,0,,0.2,,-0.2,,-1,,-0.2,,-0.2,,-1,,-0.2,,-1,,-1,,-1,,0,0,0,0,0,0,0,0,0,0.2,-1,-0.2,0,0,0,-1,0,0,-1,0,-0.2,0,0,0,0,0,0,-0.2,0,0,0.1 - 1%,
Rosewood Essential Oil,"Aniba rosaeodora oil, Bois de rose oil, Rosewood Oil, Rosewood Essential Oil",Aniba Rosaeodora (Rosewood) Wood Oil,Active,Moderate Risk,Single,0,Moderate Risk,"Fragrance, Active","Antimicrobial, Soothing",2,0,0.2,-0.2,0.2,Yes,Yes,Yes,Yes,No,No,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,-1,,0.2,,0.2,,0.2,,-0.2,,0.2,,0.2,,0.2,,0.2,,0,,-1,,0.2,,0,0,0,0,1,0,0,0.2,0,0.2,0.2,0.2,0,0,0,0,0.2,0,0.2,1,0.2,0,0,0,0,0,0,0.2,0,0,0.1 - 1%,
Anthemis Nobilis Flower Oil,"Roman chamomile oil, Chamomile oil, Nobilis Oil, Anthemis Oil, Roman Chamomile Flower Oil",Anthemis Nobilis Flower Oil,Active,Moderate Risk,Single,0,Low Risk,"Fragrance, Active","Soothing, Anti-inflammatory",1,0.2,0.2,0.2,0.2,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,0,,-1,,0.2,,0.2,,0.2,,0.2,,0.2,,0.2,,0.2,,0,,0.2,,0,,0,0,0,0,1,1,0,1,0,0.2,0,0.2,0,0,0,0,-1,0,0.2,0,0.2,0,0,0,0,0,0,0.2,0,0,0.1 - 1%,
Roman Chamomile Essential Oil,"Anthemis nobilis oil, Chamomile oil, Chamaemelum nobile oil, Roman Chamomile Oil, Anthemis Nobilis (Roman Chamomile) Flower Essential Oil",Anthemis Nobilis Flower Oil,Active,Moderate Risk,Single,0,Low Risk,"Fragrance, Active","Soothing, Anti-inflammatory",1,0.2,1,0.2,0.2,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,0.2,,0.2,,0.2,,0.2,"Roman Chamomile Essential Oil has anti-inflammatory and soothing properties that help to calm and hydrate the skin. It is effective in reducing dryness and providing relief to dehydrated, sensitive skin.",0.2,,0.2,,0.2,,0.2,,0.2,,0,,0.2,,0.2,,0,0,0,0,1,1,0,0,0,0.2,0.2,0.2,0,0,0,0,0.2,1,0.2,0,0.2,0,0,0,0,0,0,0.2,0,0,0.1 - 1%,
Apium Graveolens (Celery) Seed Extract,"Celery Seed Extract, Apium Extract, Celery Extract, Celery Seed Oil, Celery Seed Essence",Apium Graveolens (Celery) Seed Extract,Active,Low Risk,Single,0,Low Risk,"Active, Antioxidant","Antioxidant, Soothing",1,0.2,0.2,-0.2,0.2,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,0.2,,0.2,,0.2,,0.2,,-0.2,,0,,0.2,,0.2,,0.2,,0.2,,0.2,,0.2,,0,0,0,0,0,0,0,0,0,0.2,0.2,0,0,0,0,0.2,0.2,1,0.2,0,0.2,0,0,0,0,0,0,0,0,0,0.1 - 1%,
