,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ingredient name,Aliases,INCI Name,Active/Inactive,Allergen Potential,Single/Compound,Components,Risk of irritation,Role in formulation,Note,Comedogenic Rating,Normal,Dry,Oily,Combination,Not sensitive,A little sensitive,Moderately sensitive,Sensitive,Very sensitive,Extremely sensitive,Not acne prone,A little acne-prone,Moderately acne-prone,Acne-prone,Very acne-prone,Extremely acne-prone,Teen,20s,30s,40s,50s,60+,Vegetarian,Vegan,Gluten-free,Paleo,Nut-free,Soy-free,Latex-free,Sesame-free,Citrus-free,Dye-free,Fragrance-free,Scent-free,Rosacea,Description,Hyperpigmentation & Uneven skin tone,Description,Acne,Description,Dryness/Dehydration,Description,Oiliness & Shine,Description,Fine lines & Wrinkles,Description,Loss of Elasticity/firmness,Description,Visible pores & Uneven texture,Description,"Clogged pores, blackheads",Description,Dullness,Description,Dark circles,Description,Blemishes,Description
Algae Extract,"Seaweed Extract, Marine Algae Extract, Sea Algae Extract, Algae Powder, Seaweed Powder, Seaweed Extract Gel",Algae Extract,Active,Low Risk,Compound,"Polysaccharides, Vitamins, Minerals",Low Risk,"Active, Humectant","Moisturizing, soothing, healing",2,0.2,0.2,1,0.2,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,No,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,0.2,,0.2,,-0.2,,0.2,,0.2,"Algae extract is rich in minerals and vitamins that help regulate sebum production. It provides lightweight hydration without adding excess oil, making it ideal for oily skin.",0.2,,0.2,,1,"Algae extract is rich in minerals and antioxidants that help detoxify the skin and tighten pores. It improves skin texture by promoting cell turnover and providing lightweight hydration, making the skin appear smoother and more refined.",0.2,"Algae extract detoxifies the skin and regulates sebum production, helping to prevent clogged pores. It also soothes inflammation, which can lead to blackheads.",0.2,,0.2,,-0.2,
Allantoin,"Glyoxyldiureide, 0.5-Ureidohydantoin, Alcloxa, Urea Hydantoin, Allantoin Glyoxyldiureide",Allantoin,Active,Low Risk,Single,0,Low Risk,Active,"Moisturizing, soothing, reduces inflammation",0,0.2,1,0,0.2,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,1,"Allantoin is known for its soothing and anti-irritating properties. It helps calm inflamed skin, making it beneficial for managing the redness and irritation associated with rosacea. It is gentle and helps support the skin’s natural healing processes.",0.2,,0.2,,1,"Allantoin is known for its soothing and moisturizing properties. It helps soften and protect the skin, making it effective in relieving dryness and promoting hydration. Allantoin also aids in skin repair, which is beneficial for dry, flaky skin.",0,,0.2,,0.2,,0.2,,0.2,,0.2,,0.2,,0.2,
Aloe,"Aloe Vera Gel, Aloe Leaf Juice, Aloe Extract, Aloe Barbadensis Leaf Juice, Aloe Vera, Aloe Vera Gel, Aloe Juice, Aloe Vera Juice, Aloe Barbadensis Flower Extract",Aloe Barbadensis (Aloe Vera) Leaf Juice,Active,Low Risk,Single,0,Low Risk,"Humectant, Active","Moisturizing, hydrating, soothing, anti-inflammatory",0,1,0.2,1,1,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,0.2,,1,"Aloe vera inhibits melanin production by blocking the enzyme tyrosinase, which is crucial for melanin synthesis. This action helps to lighten dark spots and even out skin tone by reducing excess pigmentation.",0.2,,0.2,,0.2,"Aloe is soothing and hydrating without being greasy, making it perfect for balancing oily skin. It helps calm inflammation and reduces the appearance of pores, effectively controlling oiliness.",0.2,,0.2,,0.2,"Aloe is known for its soothing and hydrating properties. It helps calm irritated skin, minimize pores, and improve overall skin texture. Aloe also promotes healing, which can reduce the appearance of uneven texture caused by acne or other skin issues.",0.2,,0.2,,0.2,,0.2,"Aloe is known for its soothing and anti-inflammatory properties. It helps calm irritated skin and reduce redness associated with blemishes. Aloe also promotes healing, minimizing the appearance of scars from past blemishes."
Aloe Barbadensis (Aloe Vera) Leaf Juice*,"Aloe Vera Gel, Aloe Leaf Juice, Aloe Extract, Aloe Barbadensis Leaf Juice, Aloe Vera, Aloe Vera Gel, Aloe Juice, Aloe Vera Juice, Aloe Barbadensis Leaf Juice ",Aloe Barbadensis Leaf Juice,Active,Low Risk,Single,0,Low Risk,"Humectant, Active","Moisturizing, hydrating, soothing, anti-inflammatory",0,1,0.2,1,1,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,0.2,,1,"Aloe vera inhibits melanin production by blocking the enzyme tyrosinase, which is crucial for melanin synthesis. This action helps to lighten dark spots and even out skin tone by reducing excess pigmentation.",0.2,,0.2,,0.2,Aloe Vera Leaf Juice provides light hydration and helps calm and balance oily skin. It also has astringent properties that help reduce excess oil and minimize pores.,0.2,,0.2,,0.2,"Aloe Vera Leaf Juice provides intense hydration while calming the skin. It helps smooth uneven texture and reduce the appearance of enlarged pores, leaving the skin feeling soft and refined.",0.2,,0.2,,0.2,,0.2,"Aloe Vera Leaf Juice soothes and hydrates the skin, helping reduce inflammation and redness caused by blemishes. It promotes healing and can help fade blemish scars over time."
Organic Aloe,"Organic Aloe Barbadensis Leaf Juice, Organic Aloe Vera Juice, Organic Aloe Leaf Juice, Organic Aloe Vera Juice",Aloe Barbadensis Leaf Juice,Active,Low Risk,Single,0,Low Risk,"Humectant, Active","Moisturizing, hydrating, soothing, anti-inflammatory",0,1,0.2,1,1,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,0.2,,1,"Aloe vera inhibits melanin production by blocking the enzyme tyrosinase, which is crucial for melanin synthesis. This action helps to lighten dark spots and even out skin tone by reducing excess pigmentation.",0.2,,0.2,,0.2,"Organic Aloe offers the same benefits as regular aloe, with added purity. It helps control oil production while keeping the skin hydrated and balanced.",0.2,,0.2,,0.2,"Organic Aloe offers the same benefits as regular aloe, with added purity. It soothes and hydrates the skin, helping to minimize pores and improve skin texture for a smoother, more even complexion.",0.2,,0.2,,0.2,,0.2,"Organic Aloe offers the same benefits as regular aloe, with added purity. It soothes irritated skin, reduces inflammation, and promotes healing, making it effective in treating and preventing blemishes."
Aloe Barbadensis Leaf Juice Powder,"Aloe Vera Powder, Aloe Extract Powder, Aloe Juice Powder, Aloe Barbadensis Powder, Aloe Vera Leaf Juice Powder",Aloe Barbadensis Leaf Juice Powder,Active,Low Risk,Single,0,Low Risk,"Humectant, Active","Moisturizing, hydrating, soothing, anti-inflammatory",0,1,0.2,1,1,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,0.2,,0.2,,0.2,,0.2,,0.2,This concentrated form of aloe helps soothe and hydrate the skin without adding excess oil. It’s effective in balancing oily skin and reducing shine.,0.2,,0.2,,0.2,"This concentrated form of aloe helps to calm and hydrate the skin, improving skin texture and reducing the appearance of pores. It’s especially effective for soothing irritated skin.",0.2,,0.2,,0.2,,0.2,This concentrated form of aloe helps calm and heal blemished skin by reducing redness and irritation. It’s particularly effective in soothing and repairing damaged skin.
Alpha-Isomethyl Ionone,"3-Methyl-4-(2,6,6-trimethyl-2-cyclohexen-1-yl)-3-buten-2-one, α-Methylionone, Iso E Super, Methylionone, Cyclohexenyl Butenone",Alpha-Isomethyl Ionone,Inactive,High Risk,Single,0,High Risk,Fragrance,Can cause allergic reactions or skin irritation in some individuals.,2,0,-1,-1,-0.2,Yes,Yes,No,No,No,No,Yes,Yes,No,No,No,No,No,No,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,-1,,-1,,-1,,-1,,-1,,-1,,-1,,-1,,-1,,-1,,-1,,-1,
Marshmallow Root (Althaea officinalis),"Althaea Root Extract, Marshmallow Extract, Marshmallow Root Extract, Althaea Officinalis Extract",Althaea Officinalis Root Extract,Active,Low Risk,Compound,"Mucilage, Flavonoids",Low Risk,"Active, Humectant","Reduces inflammation, moisturizing, soothing",1,0.2,0.2,0.2,0.2,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,0.2,,0.2,,0,,0.2,,0.2,,0.2,,0.2,,0.2,,0.2,,0.2,,0.2,,0.2,
Ammonium Bicarbonate,"Ammonium hydrogen carbonate, Hartshorn, Ammonium acid carbonate, Bicarbonate of Ammonia, Baking Ammonia",Ammonium Bicarbonate,Inactive,Low Risk,Single,0,High Risk,pH Adjuster,"In higher concentrations, it can be irritating to the skin, especially sensitive or damaged skin.",0,0,-0.2,-1,0,Yes,Yes,No,No,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,0,,0,,0.2,,-0.2,,-1,,-0.2,,-0.2,,-1,,-0.2,,-1,,-1,,-1,
Rosewood Essential Oil,"Aniba rosaeodora oil, Bois de rose oil, Rosewood Oil, Rosewood Essential Oil",Aniba Rosaeodora (Rosewood) Wood Oil,Active,Moderate Risk,Single,0,Moderate Risk,"Fragrance, Active","Antimicrobial, Soothing",2,0,0.2,-0.2,0.2,Yes,Yes,Yes,Yes,No,No,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,-1,,0.2,,0.2,,0.2,,-0.2,,0.2,,0.2,,0.2,,0.2,,0,,-1,,0.2,
Anthemis Nobilis Flower Oil,"Roman chamomile oil, Chamomile oil, Nobilis Oil, Anthemis Oil, Roman Chamomile Flower Oil",Anthemis Nobilis Flower Oil,Active,Moderate Risk,Single,0,Low Risk,"Fragrance, Active","Soothing, Anti-inflammatory",1,0.2,0.2,0.2,0.2,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,0,,-1,,0.2,,0.2,,0.2,,0.2,,0.2,,0.2,,0.2,,0,,0.2,,0,
Roman Chamomile Essential Oil,"Anthemis nobilis oil, Chamomile oil, Chamaemelum nobile oil, Roman Chamomile Oil",Anthemis Nobilis Flower Oil,Active,Moderate Risk,Single,0,Low Risk,"Fragrance, Active","Soothing, Anti-inflammatory",1,0.2,1,0.2,0.2,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,0.2,,0.2,,0.2,,0.2,"Roman Chamomile Essential Oil has anti-inflammatory and soothing properties that help to calm and hydrate the skin. It is effective in reducing dryness and providing relief to dehydrated, sensitive skin.",0.2,,0.2,,0.2,,0.2,,0.2,,0,,0.2,,0.2,
Apium Graveolens (Celery) Seed Extract,"Celery Seed Extract, Apium Extract, Celery Extract, Celery Seed Oil, Celery Seed Essence",Apium Graveolens (Celery) Seed Extract,Active,Low Risk,Single,0,Low Risk,"Active, Antioxidant","Antioxidant, Soothing",1,0.2,0.2,-0.2,0.2,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,0.2,,0.2,,0.2,,0.2,,-0.2,,0,,0.2,,0.2,,0.2,,0.2,,0.2,,0.2,
Argania Spinosa (Argan) Kernel Oil,"Kernel Oil, Argan oil, Argania Spinosa oil, Moroccan oil, Liquid Gold, Argan Nut Oil, Argania Spinosa Kernel Oil",Argania Spinosa (Argan) Kernel Oil,Active,Low Risk,Single,0,Low Risk,"Emollient, Active, Texture Enhancer","Moisturizing, Anti-aging",0,1,0.2,0.2,1,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,No,0.2,,0,,0,,0.2,,0.2,,0.2,"Argan oil is rich in fatty acids and Vitamin E, which help to hydrate and nourish the skin. It improves elasticity and reduces the appearance of fine lines and wrinkles, promoting a smoother, more youthful complexion. Its antioxidant properties also protect the skin from environmental damage.",1,"Argan oil is rich in fatty acids and Vitamin E, improving skin elasticity and firmness by promoting collagen production and protecting against environmental factors.",0.2,,0,,0.2,,0.2,,0.2,
Organic Argan Oil,"Argania Spinosa Kernel Oil, Argania Oil, Argan Oil, Organic Argania Spinosa Oil",Argania Spinosa Kernel Oil,Active,Low Risk,Single,0,Low Risk,"Emollient, Active, Texture Enhancer","Moisturizing, Anti-aging",0,1,0.2,0.2,1,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,0.2,,0,,0,,0.2,,0.2,,0.2,"Organic argan oil offers the same benefits as regular argan oil, with added purity. It hydrates the skin, improves elasticity, and reduces the appearance of fine lines and wrinkles by nourishing and protecting the skin.",1,"Offers the same benefits as regular argan oil, with added purity, helping to restore skin elasticity and firmness by supporting collagen production and hydration.",0.2,,0,,0.2,,0.2,,0.2,
Arginine,"Arginine, L-Arginine, L-Arg, Arginine HCl",Arginine,Active,Low Risk,Single,0,Low Risk,"Active, pH Adjuster, Humectant","Hydration, Collagen Production, Healing, Skin barrier protection",0,0.2,0.2,1,0.2,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,0,"Arginine is an amino acid that supports skin repair and hydration. For rosacea, it can help strengthen the skin barrier and improve overall skin resilience, which is crucial in minimizing flare-ups and irritation.",0.2,,0.2,,0.2,,0.2,"Arginine is an amino acid that supports skin repair and hydration. While not specifically oil-controlling, it helps maintain the skin’s moisture balance, which can prevent the overproduction of oil.",0.2,,0.2,,0.2,,0.2,,0.2,,0,,0.2,
Arnica,"Arnica Montana Flower Extract, Arnica Oil, Mountain Arnica Extract, Arnica Flower Oil, Arnica Flower Extract",Arnica Montana Flower Extract,Active,Potential Risk,Compound,"Flavonoids, Sesquiterpene Lactones",Moderate Risk,Active,"Anti-inflammatory, Healing. While it has anti-inflammatory benefits, arnica can be irritating or sensitizing for some people, especially in high concentrations.",1,0,-0.2,-0.2,0.2,Yes,Yes,Yes,Yes,No,No,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,0.2,,-0.2,,0.2,,-0.2,,-0.2,,0,,0,,0.2,,0,,0.2,,-1,,0,
